NIT;Razon_Social;Resolucion;Fecha
860001978;INDUSTRIA QUIMICA ANDINA Y CIA. S.A.;1119;8/01/1990
860052634;DISTRIBUIDORA LOS COCHES LA SABANA S.A.;197;2/15/1990
860055558;ACERO ESTRUCTURAL DE COLOMBIA S.A. ACERAL S.A.;651;5/14/1990
860056330;COMERCIALIZADORA DE AUTOS MARCALI S.A. AUTOS MARCALI SA;1367;9/19/1990
860027326;PINTURAS EVERY LTDA.;1375;9/19/1990
860029488;BUNDY COLOMBIA S.A.;2092;12/27/1990
860013809;CROWN LITOMETAL S.A.;1123;8/01/1990
860014404;TAPON CORONA DE COLOMBIA S.A.;652;5/14/1990
860005074;NCR COLOMBIA LTDA.;658;5/14/1990
860005289;ASCENSORES SCHINDLER DE COLOMBIA S.A.;1365;9/19/1990
860008448;MEALS MERCADEO DE ALIMENTOS DE COLOMBIA S.A.;881;6/22/1990
860008836;ARTHUR ANDERSEN Y CIA COLOMBIA;890;6/22/1990
860009826;"CERRADURAS DE COLOMBIA ""CERRACOL S.A.""";1369;9/19/1990
860350697;CONCRETOS ARGOS S.A.;889;6/22/1990
890700058;UNION DE ARROCEROS S.A. UNIARROZ S.A.;189;2/14/1990
890105526;PROMIGAS S.A.;1384;9/19/1990
890101648;CONSERVAS CALIFORNIA S.A.;646;5/14/1990
860530547;MULTIDIMENSIONALES S.A.;891;6/22/1990
860527960;WESCO S.A.;887;6/22/1990
860005080;THOMAS GREG AND SONS DE COLOMBIA S.A.;1716;11/13/1990
860006537;COMPAÑÍA TRANSPORTADORA DE VALORES PROSEGUR DE COLOMBIA;1726;11/13/1990
860002585;GRANITOS Y MARMOLES S.A.;885;6/22/1990
860502609;DHL EXPRESS COLOMBIA LTDA.;1730;11/13/1990
890905360;H.A. BICICLETAS S.A.;1363;9/19/1990
890907841;ALMACEN RODAMIENTOS S.A;649;5/14/1990
890908493;COMESTIBLES DAN S.A;2105;12/27/1990
890302906;ILUMINACIONES TECNICAS S.A.;897;6/22/1990
890307671;RESORTES HERCULES S.A.;648;5/14/1990
890700031;SIDA S.A.;1108;8/01/1990
890700046;DISTRILLANTAS S.A.;1717;11/13/1990
890801339;COMPANIA MANUFACTURERA MANISOL S.A.;657;5/14/1990
890801763;SEGAR S.A.;662;5/14/1990
890802377;AUTOMOTRIZ CALDAS MOTOR-GOMEZ Y CIA LTDA.;1124;8/01/1990
890403068;VEHICULOS DE LA COSTA S.A. VEHICOSTA S.A.;2099;12/27/1990
890323239;SUMMAR TEMPORALES S.A.S.;656;5/14/1990
890320250;"COLOMBIANA DE MOLDEADOS S.A. ""COMOLSA""";1380;9/19/1990
890311366;EMPRESA ANDINA DE HERRAMIENTAS S.A;1362;9/19/1990
890311416;LONDONO HERMANOS S.A.S.;898;6/22/1990
890312652;QUIMICA BASICA COLOMBIANA S.A.;896;6/22/1990
800035606;CAMPESA S.A.;193;2/15/1990
860016640;TRANSPORTADORA COMERCIAL COLOMBIA S.A.;893;6/22/1990
860034714;"PROCALCULO PROSIS S.A.""";1366;9/19/1990
860074450;QUALA S.A.;2104;12/27/1990
890919436;SOCIEDAD INDUSTRIAL METAL ELECTRICA S.A.;895;6/22/1990
891408382;AMERICANA DE CURTIDOS LIMITADA;1107;8/01/1990
891410137;SUZUKI MOTOR DE COLOMBIA S.A.;1370;9/19/1990
891902805;MAZKO S.A.;1719;11/13/1990
860001324;CONSORCIO DE AGENCIAS LTDA. AGENCIAS CONDE;1089;7/12/1991
860078828;COMPAÑIA DE MEDICINA PREPAGADA COLSANITAS S.A.;189;2/13/1991
860350234;BRINKS DE COLOMBIA S.A.;845;5/31/1991
